Date,EPU_Global
2000-01-01,65.28260646406851
2000-02-01,59.30742675786533
2000-03-01,61.96827670739356
2000-04-01,64.58891296605546
2000-05-01,85.83827914666014
2000-06-01,89.20736187607223
2000-07-01,67.34798596607948
2000-08-01,54.47274682152673
2000-09-01,60.73761280304499
2000-10-01,68.83145865215505
2000-11-01,104.56230909231985
2000-12-01,100.82106674659708
2001-01-01,99.23422399803161
2001-02-01,99.96700768164642
2001-03-01,112.17185780885319
2001-04-01,107.03171968667128
2001-05-01,82.96072157598402
2001-06-01,74.09899562886879
2001-07-01,97.39669927358194
2001-08-01,82.60810730324319
2001-09-01,174.99224774086284
2001-10-01,163.70517792606978
2001-11-01,123.76772292311455
2001-12-01,106.27107879060475
2002-01-01,104.13182671465928
2002-02-01,86.32963682617168
2002-03-01,76.84342517392687
2002-04-01,81.84204509951402
2002-05-01,80.10029828703642
2002-06-01,91.96815164080554
2002-07-01,99.87148680194707
2002-08-01,104.3799144030003
2002-09-01,119.32246799613887
2002-10-01,115.11689618896469
2002-11-01,121.30231727139063
2002-12-01,119.650912124477
2003-01-01,125.74509050269135
2003-02-01,134.7919331147436
2003-03-01,167.66774285195254
2003-04-01,136.21120412991505
2003-05-01,106.37803413685992
2003-06-01,88.89469143289654
2003-07-01,80.63505956781103
2003-08-01,69.28732202645013
2003-09-01,80.19835189463265
2003-10-01,76.36520912616265
2003-11-01,73.77008036274701
2003-12-01,70.2662220522007
2004-01-01,72.32763450807757
2004-02-01,72.54355401563036
2004-03-01,77.94195759748325
2004-04-01,77.71723317699066
2004-05-01,89.32696240213951
2004-06-01,77.41936825403903
2004-07-01,74.68871156989874
2004-08-01,68.75232731496257
2004-09-01,78.0298395915102
2004-10-01,89.03925432582385
2004-11-01,84.10370261695113
2004-12-01,65.55815167611196
2005-01-01,57.94929527684681
2005-02-01,55.204438885205136
2005-03-01,53.24463289423927
2005-04-01,70.8761259199504
2005-05-01,67.57005989887573
2005-06-01,70.904812727932
2005-07-01,63.18237466820442
2005-08-01,61.62783999537436
2005-09-01,94.1490548081692
2005-10-01,66.11988181768487
2005-11-01,66.62782648274019
2005-12-01,61.94250886781287
2006-01-01,71.08118766507116
2006-02-01,59.429709257088696
2006-03-01,58.57195449527753
2006-04-01,71.86129267697456
2006-05-01,63.02715266815594
2006-06-01,72.49150626201708
2006-07-01,69.52872255461604
2006-08-01,60.602896254321614
2006-09-01,58.35546000894036
2006-10-01,61.34482159038108
2006-11-01,58.82856970199919
2006-12-01,58.034947703199606
2007-01-01,64.42783781937251
2007-02-01,54.692299747103014
2007-03-01,65.04365191249683
2007-04-01,60.52056631270599
2007-05-01,57.1880679975921
2007-06-01,56.816366381682535
2007-07-01,47.88917780269058
2007-08-01,78.46319738186217
2007-09-01,100.1358040202445
2007-10-01,79.85012269319428
2007-11-01,83.5381910775228
2007-12-01,97.11685898790948
2008-01-01,134.8296422865001
2008-02-01,99.37501251436893
2008-03-01,120.36782465363814
2008-04-01,92.31152285848827
2008-05-01,78.62199970609964
2008-06-01,86.43159583541093
2008-07-01,96.93221724477577
2008-08-01,90.58694426379213
2008-09-01,162.55008346347645
2008-10-01,208.50990148476842
2008-11-01,144.0453298345979
2008-12-01,144.81124465175793
2009-01-01,146.21370989891858
2009-02-01,147.7813088727105
2009-03-01,132.6699561944673
2009-04-01,102.6852169459087
2009-05-01,103.77731344678871
2009-06-01,117.85497888622257
2009-07-01,106.99861536877442
2009-08-01,103.55615350207776
2009-09-01,106.87609415475221
2009-10-01,92.37131128637209
2009-11-01,105.94022927034759
2009-12-01,103.06707522029565
2010-01-01,118.40906810200008
2010-02-01,115.14575790117331
2010-03-01,115.37551282428605
2010-04-01,109.62809520501062
2010-05-01,147.9308076757253
2010-06-01,139.0541884443556
2010-07-01,149.32207484249966
2010-08-01,123.90725413824791
2010-09-01,133.38351906356752
2010-10-01,127.43972867719292
2010-11-01,131.30009666965734
2010-12-01,135.5249864850025
2011-01-01,115.52693121099483
2011-02-01,96.96474542339551
2011-03-01,131.3547450671152
2011-04-01,120.12214190143386
2011-05-01,94.8237391552501
2011-06-01,125.11295272796939
2011-07-01,154.23676317759197
2011-08-01,217.68556592612867
2011-09-01,195.0936010816415
2011-10-01,167.68349123396976
2011-11-01,192.40340238198755
2011-12-01,179.12894643902976
2012-01-01,155.35598984340595
2012-02-01,142.20391709602424
2012-03-01,133.57146019165384
2012-04-01,131.01891039309612
2012-05-01,160.61588120457785
2012-06-01,184.1491743545555
2012-07-01,153.43437486018883
2012-08-01,117.4472925302037
2012-09-01,154.54409103525293
2012-10-01,152.01963044346002
2012-11-01,166.8611048971572
2012-12-01,171.31880003627077
2013-01-01,168.41548367276397
2013-02-01,123.86940533838967
2013-03-01,146.3311288361657
2013-04-01,137.2372929225579
2013-05-01,108.82230244837918
2013-06-01,128.83709621512182
2013-07-01,109.0972509884707
2013-08-01,120.50127882954666
2013-09-01,139.7465211081633
2013-10-01,170.09708461097773
2013-11-01,105.03745540457595
2013-12-01,124.33466798631018
2014-01-01,116.29103785331415
2014-02-01,102.09728451186321
2014-03-01,115.95797488633711
2014-04-01,111.80882259599215
2014-05-01,107.82104756355945
2014-06-01,92.2989596192924
2014-07-01,95.43001838262686
2014-08-01,97.84031272701509
2014-09-01,123.00543201777047
2014-10-01,113.48031107608809
2014-11-01,120.71869686042098
2014-12-01,111.76323693590915
2015-01-01,130.24854846969785
2015-02-01,116.4518856799972
2015-03-01,113.41134485523457
2015-04-01,102.18254353002798
2015-05-01,105.14688925122555
2015-06-01,120.30934957300931
2015-07-01,124.5406201063493
2015-08-01,120.50670666002878
2015-09-01,154.49521023188797
2015-10-01,116.69119060067885
2015-11-01,106.51288492565962
2015-12-01,113.50201931239779
2016-01-01,145.37920230967987
2016-02-01,148.31181265936834
2016-03-01,160.78085179706758
2016-04-01,143.69237745572056
2016-05-01,127.34963855128508
2016-06-01,231.5786547742976
2016-07-01,204.93329827346255
2016-08-01,135.8418754609054
2016-09-01,137.04393565728878
2016-10-01,127.09036508753302
2016-11-01,229.99944598714194
2016-12-01,186.26373316420063
2017-01-01,249.90547064880647
2017-02-01,187.34628011736828
2017-03-01,239.6698350215654
2017-04-01,178.47117692420167
2017-05-01,145.68888244691274
2017-06-01,174.03343301642514
2017-07-01,167.92057792029146
2017-08-01,141.89896514309876
2017-09-01,159.97501047541456
2017-10-01,145.84818462413446
2017-11-01,162.33184614241455
2017-12-01,150.3505506006669
2018-01-01,180.86849849488374
2018-02-01,128.23570433311107
2018-03-01,184.80405608075677
2018-04-01,167.90213578096532
2018-05-01,173.78663148442953
2018-06-01,166.71315283862742
2018-07-01,232.7286372859112
2018-08-01,175.1385653729288
2018-09-01,196.63746484642607
2018-10-01,217.31615305449512
2018-11-01,252.19056473178105
2018-12-01,223.12230029331994
2019-01-01,247.05117293272218
2019-02-01,175.84204770229255
2019-03-01,244.73080166888073
2019-04-01,194.3736013147418
2019-05-01,227.3249064900164
2019-06-01,327.9999437358609
2019-07-01,253.20206876061607
2019-08-01,294.98898696279264
2019-09-01,240.75323832092093
2019-10-01,204.28415774403234
2019-11-01,247.35763491445007
2019-12-01,235.18487734075856
2020-01-01,194.7523460035737
2020-02-01,198.96309256190844
2020-03-01,320.60580447712516
2020-04-01,332.06267084473586
2020-05-01,421.50885868942237
2020-06-01,314.92170414929086
2020-07-01,317.4580996029316
2020-08-01,294.93607517430445
2020-09-01,315.5805078337498
2020-10-01,310.72365324566243
2020-11-01,405.9390446740655
2020-12-01,308.05790202889614
2021-01-01,277.097254216384
2021-02-01,197.82407412842264
2021-03-01,216.36902066617213
2021-04-01,198.70956853858135
2021-05-01,176.54403078475795
2021-06-01,174.0210061101899
2021-07-01,192.491695508742
2021-08-01,205.9261328729086
2021-09-01,216.10833278656173
2021-10-01,191.34995444829494
2021-11-01,234.01104343606406
2021-12-01,264.4568204742307
2022-01-01,226.96891400964307
2022-02-01,178.83372859445495
2022-03-01,302.9993054126656
2022-04-01,273.97223975254053
2022-05-01,281.74743731147765
2022-06-01,253.30670977856278
2022-07-01,298.90264447182597
2022-08-01,240.03169198330377
2022-09-01,252.98001900987583
2022-10-01,269.5576916546932
2022-11-01,317.71710554921054
2022-12-01,244.864275088625
2023-01-01,221.26600178887702
2023-02-01,246.63108578842946
2023-03-01,320.95409558863645
2023-04-01,260.43906613767416
2023-05-01,215.11254656471712
2023-06-01,225.98622140603393
2023-07-01,195.5881300130885
2023-08-01,178.84707900083797
2023-09-01,204.82686539781875
2023-10-01,193.4191102468808
2023-11-01,211.6304000100615
2023-12-01,227.86503313474938
2024-01-01,245.0900914283761
2024-02-01,170.67391596914027
2024-03-01,182.75468222114586
2024-04-01,174.16575420015351
2024-05-01,187.67452172292718
2024-06-01,175.69562532542903
2024-07-01,233.7349750879658
2024-08-01,194.88700385623156
2024-09-01,206.0683962316502
2024-10-01,209.04188689302484
2024-11-01,286.60025612047684
2024-12-01,332.45858266227816
2025-01-01,313.37481995372525
2025-02-01,331.1288706328243
2025-03-01,473.8776249291758
2025-04-01,629.1073463256131
2025-05-01,518.3057899257306
2025-06-01,372.2638063309941
2025-07-01,412.66240265870243
2025-08-01,340.8905199849488
2025-09-01,302.701540214035
