feature,coverage,mean,std,abs_corr,mutual_info
cpi_yoy_lag1,0.9967532467532467,0.6169381107491856,1.0339212777457982,0.9134975352329731,0.9030601490868069
energy_price_index_Energy_lag1,0.9967532467532467,86.4107946384431,35.36360417324659,0.24981701780725318,0.4291856385987196
epu_global_EPU_Global_lag1,0.9967532467532467,154.05768178363496,84.75766338490924,0.0485333002082182,0.25976157555704216
cpi_yoy_lag2,0.9935064935064936,0.6183006535947712,1.0353387286688056,0.8528147857622844,0.6545516639152327
energy_price_index_Energy_lag2,0.9935064935064936,86.39365048597058,35.420251936983384,0.22990562571403192,0.4547488882475541
epu_global_EPU_Global_lag2,0.9935064935064936,153.21256831672298,83.59085893558493,0.0475233990104192,0.19145407055428132
cpi_yoy_roll3,0.9902597402597403,0.6151912568306013,1.016428740600455,0.8698628739677579,0.6892958000698619
cpi_yoy_lag3,0.9902597402597403,0.6200000000000001,1.0366126516079592,0.7961689854440034,0.5244817372938528
energy_price_index_Energy_lag3,0.9902597402597403,86.37466888585301,35.47690216491361,0.20044582737811847,0.41991255702164887
epu_global_EPU_Global_lag3,0.9902597402597403,152.4943675363483,82.77716401260783,0.04513243840598863,0.16101501987371902
cpi_yoy_roll6,0.9805194805194806,0.6135209713024282,0.988734178937009,0.7976074037956301,0.5632808489963201
snb_policy_rate_PolicyRate_lag1,0.9675324675324676,0.4614178859060402,1.161150273512437,0.42771375345145835,0.45989895108884316
unemployment-rate_Value_lag1,0.9675324675324676,2.9237642814429528,0.6228849141987071,0.3498377314253811,0.3839969798301839
usd_chf_CHF_USD_lag1,0.9675324675324676,1.0805821140939598,0.22350161669635843,0.16042965082697028,0.3277039749363717
eur_chf_CHF_EUR_lag1,0.9675324675324676,1.277143288590604,0.2280555428696992,0.1477472980621227,0.5188868379521425
snb_policy_rate_PolicyRate_lag2,0.9642857142857143,0.46297148148148143,1.1627997348375767,0.39423562956853936,0.47159907424943937
unemployment-rate_Value_lag2,0.9642857142857143,2.9243899150168353,0.6238424016654442,0.3053413526604322,0.38340061783348256
usd_chf_CHF_USD_lag2,0.9642857142857143,1.0815340404040406,0.223272890516742,0.15044324608580517,0.260515911806956
eur_chf_CHF_EUR_lag2,0.9642857142857143,1.278303872053872,0.22755722245635523,0.1473942439857535,0.5639427107435258
snb_policy_rate_PolicyRate_lag3,0.961038961038961,0.46453557432432435,1.1644559177385287,0.3637671170524159,0.500983005299124
unemployment-rate_Value_lag3,0.961038961038961,2.9251828515202702,0.6247489278640131,0.2618299207510133,0.3404629534686632
eur_chf_CHF_EUR_lag3,0.961038961038961,1.279454695945946,0.22707519415362665,0.14633940097864565,0.6085470503990069
usd_chf_CHF_USD_lag3,0.961038961038961,1.0824386824324324,0.22310510391556126,0.1440743937083517,0.3141722403828
google_trends_inflation_multi_inflation_switzerland_lag1,0.07142857142857142,21.636363636363637,25.380054888577096,0.5786152986009958,0.031124400368805594
google_trends_inflation_multi_inflation_switzerland_lag2,0.07142857142857142,21.636363636363637,25.380054888577096,0.5740657963752199,0.008529262685996963
google_trends_inflation_multi_inflation_switzerland_lag3,0.07142857142857142,21.636363636363637,25.380054888577096,0.5479324163332179,0.0
google_trends_inflation_multi_energy_prices_switzerland_lag3,0.07142857142857142,8.227272727272727,26.79006891009787,0.4505389615659665,0.002062637221038166
google_trends_inflation_multi_energy_prices_switzerland_lag2,0.07142857142857142,8.227272727272727,26.79006891009787,0.4337454398691192,0.007336985057606604
google_trends_inflation_multi_energy_prices_switzerland_lag1,0.07142857142857142,8.227272727272727,26.79006891009787,0.3543585041886048,0.0
